id,ticker symbol,security,sec filings,gics sector,gics sub industry,address of headquarters,date first added,cik
"227","HES","Hess Corporation","reports","Energy","Integrated Oil & Gas","New York, New York","1984-05-31","4447"
"228","HPE","Hewlett Packard Enterprise","reports","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","2015-11-02","1645590"
"229","HOLX","Hologic","reports","Health Care","Health Care Equipment","Marlborough, Massachusetts","2016-03-30","859737"
"230","HD","Home Depot","reports","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","1988-03-31","354950"
"231","HON","Honeywell Int'l Inc.","reports","Industrials","Industrial Conglomerates","Morristown, New Jersey","1964-03-31","773840"
"232","HRL","Hormel Foods Corp.","reports","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","2009-03-04","48465"
"233","HST","Host Hotels & Resorts","reports","Real Estate","REITs","Bethesda, Maryland","2007-03-20","1070750"
"234","HPQ","HP Inc.","reports","Information Technology","Computer Hardware","Palo Alto, California","1974-12-31","47217"
"235","HUM","Humana Inc.","reports","Health Care","Managed Health Care","Louisville, Kentucky","0000-00-00","49071"
"236","HBAN","Huntington Bancshares","reports","Financials","Banks","Columbus, Ohio","0000-00-00","49196"
"237","IDXX","IDEXX Laboratories","reports","Health Care","Health Care Equipment","Westbrook, Maine","2017-01-05","874716"
"238","ITW","Illinois Tool Works","reports","Industrials","Industrial Machinery","Glenview, Illinois","1986-02-28","49826"
"239","ILMN","Illumina Inc","reports","Health Care","Life Sciences Tools & Services","San Diego, California","2015-11-19","1110803"
"240","IR","Ingersoll-Rand PLC","reports","Industrials","Industrial Conglomerates","Dublin, Ireland","2010-11-17","1466258"
"241","INTC","Intel Corp.","reports","Information Technology","Semiconductors","Santa Clara, California","1976-12-31","50863"
"242","ICE","Intercontinental Exchange","reports","Financials","Diversified Financial Services","Atlanta, Georgia","2007-09-26","1571949"
"243","IBM","International Business Machines","reports","Information Technology","IT Consulting & Other Services","Armonk, New York","0000-00-00","51143"
"244","IP","International Paper","reports","Materials","Paper Packaging","Memphis, Tennessee","0000-00-00","51434"
"245","IPG","Interpublic Group","reports","Consumer Discretionary","Advertising","New York, New York","1992-10-01","51644"
"246","IFF","Intl Flavors & Fragrances","reports","Materials","Specialty Chemicals","New York, New York","1976-03-31","51253"
"247","INTU","Intuit Inc.","reports","Information Technology","Internet Software & Services","Mountain View, California","2000-12-05","896878"
"248","ISRG","Intuitive Surgical Inc.","reports","Health Care","Health Care Equipment","Sunnyvale, California","2008-06-02","1035267"
"249","IVZ","Invesco Ltd.","reports","Financials","Asset Management & Custody Banks","Atlanta, Georgia","2008-08-21","914208"
"250","IRM","Iron Mountain Incorporated","reports","Real Estate","REITs","Boston, Massachusetts","2009-01-06","1020569"
"251","JBHT","J. B. Hunt Transport Services","reports","Industrials","Trucking","Lowell, Arkansas","2015-07-01","728535"
"252","JEC","Jacobs Engineering Group","reports","Industrials","Industrial Conglomerates","Pasadena, California","2007-10-26","52988"
"253","SJM","JM Smucker","reports","Consumer Staples","Packaged Foods & Meats","Orrville, Ohio","2008-11-06","91419"
"254","JNJ","Johnson & Johnson","reports","Health Care","Health Care Equipment","New Brunswick, New Jersey","1973-06-30","200406"
"255","JCI","Johnson Controls International","reports","Industrials","Building Products","Cork, Ireland","2010-08-27","833444"
"256","JPM","JPMorgan Chase & Co.","reports","Financials","Banks","New York, New York","1975-06-30","19617"
